models/RNTN_wvecDim_30_step_10e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 112 : Cost=28.2191, ExpCost=43.2853.
Iter 113 : Cost=26.0211, ExpCost=43.1126.
Iter 114 : Cost=35.6673, ExpCost=43.0382.
Iter 115 : Cost=30.9607, ExpCost=42.9174.
Iter 116 : Cost=30.1646, ExpCost=42.7899.
Iter 117 : Cost=30.7765, ExpCost=42.6697.
Iter 118 : Cost=31.1007, ExpCost=42.5540.
Iter 119 : Cost=27.2911, ExpCost=42.4014.
Iter 120 : Cost=34.8426, ExpCost=42.3258.
Iter 121 : Cost=32.6492, ExpCost=42.2291.
Iter 122 : Cost=36.6818, ExpCost=42.1736.
Iter 123 : Cost=30.4342, ExpCost=42.0562.
Iter 124 : Cost=33.9584, ExpCost=41.9752.
Iter 125 : Cost=31.5247, ExpCost=41.8707.
Iter 126 : Cost=36.0609, ExpCost=41.8126.
Iter 127 : Cost=33.4971, ExpCost=41.7295.
Iter 128 : Cost=34.1710, ExpCost=41.6539.
Iter 129 : Cost=31.2427, ExpCost=41.5498.
Iter 130 : Cost=26.4882, ExpCost=41.3991.
Iter 131 : Cost=32.6197, ExpCost=41.3114.
Iter 132 : Cost=31.2759, ExpCost=41.2110.
Iter 133 : Cost=39.8215, ExpCost=41.1971.
Iter 134 : Cost=32.1296, ExpCost=41.1064.
Iter 135 : Cost=40.6333, ExpCost=41.1017.
Iter 136 : Cost=34.7771, ExpCost=41.0385.
Iter 137 : Cost=30.8248, ExpCost=40.9363.
Iter 138 : Cost=37.5378, ExpCost=40.9023.
Iter 139 : Cost=38.8216, ExpCost=40.8815.
Iter 140 : Cost=29.6513, ExpCost=40.7692.
Iter 141 : Cost=33.6801, ExpCost=40.6983.
Iter 142 : Cost=38.8709, ExpCost=40.6801.
Iter 143 : Cost=35.9592, ExpCost=40.6328.
Iter 144 : Cost=36.6869, ExpCost=40.5934.
Iter 145 : Cost=35.9777, ExpCost=40.5472.
Iter 146 : Cost=34.7533, ExpCost=40.4893.
Iter 147 : Cost=35.4129, ExpCost=40.4385.
Iter 148 : Cost=31.5204, ExpCost=40.3493.
Iter 149 : Cost=36.5407, ExpCost=40.3113.
Iter 150 : Cost=33.4836, ExpCost=40.2430.
Iter 151 : Cost=30.1688, ExpCost=40.1422.
Iter 152 : Cost=34.9859, ExpCost=40.0907.
Iter 153 : Cost=35.0162, ExpCost=40.0399.
Iter 154 : Cost=33.3623, ExpCost=39.9732.
Iter 155 : Cost=29.9005, ExpCost=39.8724.
Iter 156 : Cost=31.6360, ExpCost=39.7901.
Iter 157 : Cost=27.8601, ExpCost=39.6708.
Iter 158 : Cost=37.7421, ExpCost=39.6515.
Iter 159 : Cost=34.3976, ExpCost=39.5989.
Iter 160 : Cost=30.8824, ExpCost=39.5118.
Iter 161 : Cost=33.8862, ExpCost=39.4555.
Iter 162 : Cost=33.4447, ExpCost=39.3954.
Iter 163 : Cost=34.1057, ExpCost=39.3425.
Iter 164 : Cost=34.6020, ExpCost=39.2951.
Iter 165 : Cost=34.2645, ExpCost=39.2448.
Iter 166 : Cost=29.9391, ExpCost=39.1517.
Iter 167 : Cost=33.7022, ExpCost=39.0972.
Iter 168 : Cost=35.2169, ExpCost=39.0584.
Iter 169 : Cost=30.6913, ExpCost=38.9748.
Iter 170 : Cost=29.4396, ExpCost=38.8794.
Iter 171 : Cost=31.2163, ExpCost=38.8028.
Iter 172 : Cost=29.2020, ExpCost=38.7068.
Iter 173 : Cost=32.8467, ExpCost=38.6482.
Iter 174 : Cost=29.9173, ExpCost=38.5609.
Iter 175 : Cost=33.8383, ExpCost=38.5136.
Iter 176 : Cost=32.5592, ExpCost=38.4541.
Iter 177 : Cost=30.0895, ExpCost=38.3705.
Iter 178 : Cost=32.9071, ExpCost=38.3158.
Iter 179 : Cost=36.5805, ExpCost=38.2985.
Iter 180 : Cost=32.9876, ExpCost=38.2454.
Iter 181 : Cost=28.3220, ExpCost=38.1461.
Iter 182 : Cost=35.2611, ExpCost=38.1173.
Iter 183 : Cost=31.8615, ExpCost=38.0547.
Iter 184 : Cost=30.9192, ExpCost=37.9834.
Iter 185 : Cost=34.5686, ExpCost=37.9492.
Iter 186 : Cost=37.5868, ExpCost=37.9456.
Iter 187 : Cost=33.3911, ExpCost=37.9000.
Iter 188 : Cost=38.8584, ExpCost=37.9096.
Iter 189 : Cost=27.2378, ExpCost=37.8029.
Iter 190 : Cost=34.3954, ExpCost=37.7688.
Iter 191 : Cost=38.8346, ExpCost=37.7795.
Iter 192 : Cost=29.5688, ExpCost=37.6974.
Iter 193 : Cost=35.2896, ExpCost=37.6733.
Iter 194 : Cost=33.1943, ExpCost=37.6285.
Iter 195 : Cost=34.6008, ExpCost=37.5982.
Iter 196 : Cost=33.5945, ExpCost=37.5582.
Iter 197 : Cost=37.7345, ExpCost=37.5600.
Iter 198 : Cost=33.2019, ExpCost=37.5164.
Iter 199 : Cost=34.1309, ExpCost=37.4825.
Iter 200 : Cost=34.9290, ExpCost=37.4570.
Iter 201 : Cost=32.9042, ExpCost=37.4115.
Iter 202 : Cost=37.2559, ExpCost=37.4099.
Iter 203 : Cost=30.6020, ExpCost=37.3418.
Iter 204 : Cost=27.9596, ExpCost=37.2480.
Iter 205 : Cost=31.5869, ExpCost=37.1914.
Iter 206 : Cost=32.3618, ExpCost=37.1431.
Iter 207 : Cost=27.5305, ExpCost=37.0470.
Iter 208 : Cost=28.7108, ExpCost=36.9636.
Iter 209 : Cost=39.7513, ExpCost=36.9915.
Iter 210 : Cost=30.7437, ExpCost=36.9290.
Iter 211 : Cost=33.5251, ExpCost=36.8950.
Iter 212 : Cost=34.3835, ExpCost=36.8699.
Iter 213 : Cost=33.4652, ExpCost=36.8358.
Iter 214 : Cost=30.5228, ExpCost=36.7727.
Iter 215 : Cost=32.1092, ExpCost=36.7261.
Iter 216 : Cost=33.0759, ExpCost=36.6896.
Iter 217 : Cost=34.0858, ExpCost=36.6635.
Iter 218 : Cost=32.9084, ExpCost=36.6260.
Iter 219 : Cost=33.5905, ExpCost=36.5956.
Iter 220 : Cost=30.9461, ExpCost=36.5391.
Iter 221 : Cost=35.2986, ExpCost=36.5267.
Iter 222 : Cost=31.2799, ExpCost=36.4742.
Iter 223 : Cost=33.7664, ExpCost=36.4472.
Iter 224 : Cost=36.0053, ExpCost=36.4427.
Iter 225 : Cost=28.1648, ExpCost=36.3600.
Iter 226 : Cost=35.5433, ExpCost=36.3518.
Iter 227 : Cost=38.8672, ExpCost=36.3769.
Iter 228 : Cost=35.4234, ExpCost=36.3674.
Iter 229 : Cost=31.2276, ExpCost=36.3160.
Iter 230 : Cost=33.6363, ExpCost=36.2892.
Iter 231 : Cost=32.2575, ExpCost=36.2489.
Iter 232 : Cost=32.7205, ExpCost=36.2136.
Iter 233 : Cost=30.7219, ExpCost=36.1587.
Iter 234 : Cost=31.1896, ExpCost=36.1090.
Iter 235 : Cost=35.3431, ExpCost=36.1014.
Iter 236 : Cost=32.2327, ExpCost=36.0627.
Iter 237 : Cost=33.6919, ExpCost=36.0390.
Iter 238 : Cost=34.6361, ExpCost=36.0249.
Iter 239 : Cost=31.3425, ExpCost=35.9781.
Iter 240 : Cost=34.2255, ExpCost=35.9606.
Iter 241 : Cost=37.4216, ExpCost=35.9752.
Iter 242 : Cost=36.4619, ExpCost=35.9801.
Iter 243 : Cost=32.1399, ExpCost=35.9417.
Iter 244 : Cost=37.4145, ExpCost=35.9564.
Iter 245 : Cost=32.7227, ExpCost=35.9240.
Iter 246 : Cost=36.0737, ExpCost=35.9255.
Iter 247 : Cost=30.9465, ExpCost=35.8757.
Iter 248 : Cost=31.3134, ExpCost=35.8301.
Iter 249 : Cost=29.5088, ExpCost=35.7669.
Iter 250 : Cost=32.7481, ExpCost=35.7367.
Iter 251 : Cost=33.9687, ExpCost=35.7190.
Iter 252 : Cost=34.5737, ExpCost=35.7076.
Iter 253 : Cost=41.7096, ExpCost=35.7676.
Iter 254 : Cost=31.9472, ExpCost=35.7294.
Iter 255 : Cost=39.6503, ExpCost=35.7686.
Iter 256 : Cost=34.0912, ExpCost=35.7518.
Iter 257 : Cost=32.9241, ExpCost=35.7236.
Iter 258 : Cost=28.3575, ExpCost=35.6499.
Iter 259 : Cost=34.8585, ExpCost=35.6420.
Iter 260 : Cost=33.4894, ExpCost=35.6205.
Iter 261 : Cost=36.3296, ExpCost=35.6276.
Iter 262 : Cost=34.2413, ExpCost=35.6137.
Iter 263 : Cost=34.0214, ExpCost=35.5978.
Iter 264 : Cost=36.2398, ExpCost=35.6042.
Iter 265 : Cost=24.1256, ExpCost=35.4894.
Iter 266 : Cost=35.7607, ExpCost=35.4921.
Iter 267 : Cost=30.1001, ExpCost=35.4382.
Iter 268 : Cost=32.5620, ExpCost=35.4094.
Iter 269 : Cost=32.8588, ExpCost=35.3839.
Iter 270 : Cost=33.3858, ExpCost=35.3639.
Iter 271 : Cost=32.6482, ExpCost=35.3368.
Iter 272 : Cost=40.7232, ExpCost=35.3907.
Iter 273 : Cost=36.9086, ExpCost=35.4058.
Iter 274 : Cost=33.0920, ExpCost=35.3827.
Iter 275 : Cost=31.2072, ExpCost=35.3409.
Iter 276 : Cost=33.6566, ExpCost=35.3241.
Iter 277 : Cost=25.3146, ExpCost=35.2240.
Iter 278 : Cost=35.6275, ExpCost=35.2280.
Iter 279 : Cost=39.9267, ExpCost=35.2750.
Iter 280 : Cost=29.8771, ExpCost=35.2210.
Iter 281 : Cost=39.0578, ExpCost=35.2594.
