models/RNN_wvecDim_30_step_1e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 112 : Cost=31.1273, ExpCost=48.1797.
Iter 113 : Cost=34.6108, ExpCost=48.0440.
Iter 114 : Cost=32.0845, ExpCost=47.8844.
Iter 115 : Cost=34.5317, ExpCost=47.7508.
Iter 116 : Cost=41.2876, ExpCost=47.6862.
Iter 117 : Cost=41.6558, ExpCost=47.6259.
Iter 118 : Cost=36.1458, ExpCost=47.5111.
Iter 119 : Cost=31.8183, ExpCost=47.3542.
Iter 120 : Cost=33.9404, ExpCost=47.2200.
Iter 121 : Cost=33.4681, ExpCost=47.0825.
Iter 122 : Cost=35.1404, ExpCost=46.9631.
Iter 123 : Cost=39.3809, ExpCost=46.8873.
Iter 124 : Cost=39.3370, ExpCost=46.8118.
Iter 125 : Cost=34.5550, ExpCost=46.6892.
Iter 126 : Cost=28.5072, ExpCost=46.5074.
Iter 127 : Cost=35.6818, ExpCost=46.3991.
Iter 128 : Cost=39.5358, ExpCost=46.3305.
Iter 129 : Cost=32.8487, ExpCost=46.1957.
Iter 130 : Cost=38.1277, ExpCost=46.1150.
Iter 131 : Cost=34.9115, ExpCost=46.0030.
Iter 132 : Cost=39.2760, ExpCost=45.9357.
Iter 133 : Cost=33.1140, ExpCost=45.8075.
Iter 134 : Cost=36.4507, ExpCost=45.7139.
Iter 135 : Cost=36.4535, ExpCost=45.6213.
Iter 136 : Cost=37.0667, ExpCost=45.5358.
Iter 137 : Cost=36.3739, ExpCost=45.4441.
Iter 138 : Cost=36.3744, ExpCost=45.3534.
Iter 139 : Cost=29.0258, ExpCost=45.1902.
Iter 140 : Cost=33.3449, ExpCost=45.0717.
Iter 141 : Cost=35.0093, ExpCost=44.9711.
Iter 142 : Cost=35.8582, ExpCost=44.8800.
Iter 143 : Cost=35.3566, ExpCost=44.7847.
Iter 144 : Cost=33.1323, ExpCost=44.6682.
Iter 145 : Cost=35.7992, ExpCost=44.5795.
Iter 146 : Cost=34.7236, ExpCost=44.4810.
Iter 147 : Cost=32.6020, ExpCost=44.3622.
Iter 148 : Cost=27.9663, ExpCost=44.1982.
Iter 149 : Cost=34.0403, ExpCost=44.0966.
Iter 150 : Cost=31.9559, ExpCost=43.9752.
Iter 151 : Cost=32.4683, ExpCost=43.8602.
Iter 152 : Cost=27.6949, ExpCost=43.6985.
Iter 153 : Cost=32.6669, ExpCost=43.5882.
Iter 154 : Cost=33.5349, ExpCost=43.4877.
Iter 155 : Cost=41.7311, ExpCost=43.4701.
Iter 156 : Cost=37.6974, ExpCost=43.4124.
Iter 157 : Cost=38.5615, ExpCost=43.3639.
Iter 158 : Cost=30.5395, ExpCost=43.2356.
Iter 159 : Cost=32.9499, ExpCost=43.1327.
Iter 160 : Cost=35.7865, ExpCost=43.0593.
Iter 161 : Cost=36.1712, ExpCost=42.9904.
Iter 162 : Cost=34.4472, ExpCost=42.9050.
Iter 163 : Cost=30.8225, ExpCost=42.7841.
Iter 164 : Cost=37.0679, ExpCost=42.7270.
Iter 165 : Cost=32.1038, ExpCost=42.6208.
Iter 166 : Cost=31.7175, ExpCost=42.5117.
Iter 167 : Cost=30.5467, ExpCost=42.3921.
Iter 168 : Cost=34.1426, ExpCost=42.3096.
Iter 169 : Cost=36.5316, ExpCost=42.2518.
Iter 170 : Cost=32.9474, ExpCost=42.1588.
Iter 171 : Cost=32.5304, ExpCost=42.0625.
Iter 172 : Cost=33.5522, ExpCost=41.9774.
Iter 173 : Cost=34.2719, ExpCost=41.9003.
Iter 174 : Cost=30.5075, ExpCost=41.7864.
Iter 175 : Cost=31.5550, ExpCost=41.6841.
Iter 176 : Cost=30.7145, ExpCost=41.5744.
Iter 177 : Cost=35.0007, ExpCost=41.5086.
Iter 178 : Cost=36.6464, ExpCost=41.4600.
Iter 179 : Cost=33.6520, ExpCost=41.3819.
Iter 180 : Cost=37.6138, ExpCost=41.3443.
Iter 181 : Cost=36.5585, ExpCost=41.2964.
Iter 182 : Cost=37.2170, ExpCost=41.2556.
Iter 183 : Cost=40.8468, ExpCost=41.2515.
Iter 184 : Cost=35.4005, ExpCost=41.1930.
Iter 185 : Cost=36.3402, ExpCost=41.1445.
Iter 186 : Cost=34.0430, ExpCost=41.0735.
Iter 187 : Cost=31.4574, ExpCost=40.9773.
Iter 188 : Cost=37.4775, ExpCost=40.9423.
Iter 189 : Cost=31.4979, ExpCost=40.8479.
Iter 190 : Cost=33.2254, ExpCost=40.7716.
Iter 191 : Cost=32.0137, ExpCost=40.6841.
Iter 192 : Cost=34.2610, ExpCost=40.6198.
Iter 193 : Cost=34.4107, ExpCost=40.5577.
Iter 194 : Cost=31.3282, ExpCost=40.4654.
Iter 195 : Cost=34.6300, ExpCost=40.4071.
Iter 196 : Cost=34.4229, ExpCost=40.3472.
Iter 197 : Cost=31.5851, ExpCost=40.2596.
Iter 198 : Cost=31.5231, ExpCost=40.1723.
Iter 199 : Cost=32.7522, ExpCost=40.0981.
Iter 200 : Cost=29.7029, ExpCost=39.9941.
Iter 201 : Cost=26.0366, ExpCost=39.8545.
Iter 202 : Cost=29.0152, ExpCost=39.7461.
Iter 203 : Cost=33.6810, ExpCost=39.6855.
Iter 204 : Cost=31.3327, ExpCost=39.6020.
Iter 205 : Cost=32.6419, ExpCost=39.5324.
Iter 206 : Cost=28.9675, ExpCost=39.4267.
Iter 207 : Cost=31.5211, ExpCost=39.3477.
Iter 208 : Cost=29.9806, ExpCost=39.2540.
Iter 209 : Cost=26.8384, ExpCost=39.1298.
Iter 210 : Cost=36.3748, ExpCost=39.1023.
Iter 211 : Cost=27.1556, ExpCost=38.9828.
Iter 212 : Cost=31.1883, ExpCost=38.9049.
Iter 213 : Cost=33.9504, ExpCost=38.8553.
Iter 214 : Cost=29.6143, ExpCost=38.7629.
Iter 215 : Cost=28.9912, ExpCost=38.6652.
Iter 216 : Cost=28.0554, ExpCost=38.5591.
Iter 217 : Cost=26.2260, ExpCost=38.4358.
Iter 218 : Cost=27.1836, ExpCost=38.3232.
Iter 219 : Cost=34.3732, ExpCost=38.2837.
Iter 220 : Cost=28.5672, ExpCost=38.1866.
Iter 221 : Cost=33.8319, ExpCost=38.1430.
Iter 222 : Cost=36.3381, ExpCost=38.1250.
Iter 223 : Cost=41.5114, ExpCost=38.1588.
Iter 224 : Cost=29.5399, ExpCost=38.0727.
Iter 225 : Cost=24.8188, ExpCost=37.9401.
Iter 226 : Cost=29.0801, ExpCost=37.8515.
Iter 227 : Cost=36.7380, ExpCost=37.8404.
Iter 228 : Cost=28.3474, ExpCost=37.7454.
Iter 229 : Cost=31.9108, ExpCost=37.6871.
Iter 230 : Cost=31.0473, ExpCost=37.6207.
Iter 231 : Cost=32.7444, ExpCost=37.5719.
Iter 232 : Cost=29.4738, ExpCost=37.4910.
Iter 233 : Cost=30.0797, ExpCost=37.4168.
Iter 234 : Cost=31.1677, ExpCost=37.3544.
Iter 235 : Cost=28.8659, ExpCost=37.2695.
Iter 236 : Cost=29.2566, ExpCost=37.1893.
Iter 237 : Cost=25.5529, ExpCost=37.0730.
Iter 238 : Cost=29.5804, ExpCost=36.9981.
Iter 239 : Cost=27.7706, ExpCost=36.9058.
Iter 240 : Cost=36.5218, ExpCost=36.9019.
Iter 241 : Cost=31.7654, ExpCost=36.8506.
Iter 242 : Cost=28.9781, ExpCost=36.7718.
Iter 243 : Cost=31.5046, ExpCost=36.7192.
