models/RNTN_wvecDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 112 : Cost=27.5041, ExpCost=44.1248.
Iter 113 : Cost=32.9811, ExpCost=44.0134.
Iter 114 : Cost=33.3797, ExpCost=43.9070.
Iter 115 : Cost=29.0698, ExpCost=43.7587.
Iter 116 : Cost=32.8291, ExpCost=43.6494.
Iter 117 : Cost=32.7816, ExpCost=43.5407.
Iter 118 : Cost=32.6339, ExpCost=43.4316.
Iter 119 : Cost=35.0321, ExpCost=43.3476.
Iter 120 : Cost=24.9223, ExpCost=43.1634.
Iter 121 : Cost=37.5798, ExpCost=43.1075.
Iter 122 : Cost=31.1377, ExpCost=42.9878.
Iter 123 : Cost=34.0684, ExpCost=42.8986.
Iter 124 : Cost=31.2367, ExpCost=42.7820.
Iter 125 : Cost=28.3844, ExpCost=42.6380.
Iter 126 : Cost=30.5513, ExpCost=42.5172.
Iter 127 : Cost=26.6282, ExpCost=42.3583.
Iter 128 : Cost=37.4890, ExpCost=42.3096.
Iter 129 : Cost=29.4110, ExpCost=42.1806.
Iter 130 : Cost=30.5603, ExpCost=42.0644.
Iter 131 : Cost=34.5946, ExpCost=41.9897.
Iter 132 : Cost=33.9025, ExpCost=41.9088.
Iter 133 : Cost=30.2018, ExpCost=41.7918.
Iter 134 : Cost=35.3361, ExpCost=41.7272.
Iter 135 : Cost=38.7990, ExpCost=41.6979.
Iter 136 : Cost=25.9381, ExpCost=41.5403.
Iter 137 : Cost=32.1324, ExpCost=41.4462.
Iter 138 : Cost=33.6402, ExpCost=41.3682.
Iter 139 : Cost=27.1452, ExpCost=41.2260.
Iter 140 : Cost=28.7887, ExpCost=41.1016.
Iter 141 : Cost=27.9023, ExpCost=40.9696.
Iter 142 : Cost=29.1269, ExpCost=40.8512.
Iter 143 : Cost=34.8474, ExpCost=40.7911.
Iter 144 : Cost=34.0952, ExpCost=40.7242.
Iter 145 : Cost=38.2551, ExpCost=40.6995.
Iter 146 : Cost=31.7848, ExpCost=40.6103.
Iter 147 : Cost=28.5102, ExpCost=40.4893.
Iter 148 : Cost=30.9189, ExpCost=40.3936.
Iter 149 : Cost=31.5450, ExpCost=40.3051.
Iter 150 : Cost=34.9514, ExpCost=40.2516.
Iter 151 : Cost=34.9081, ExpCost=40.1982.
Iter 152 : Cost=27.8632, ExpCost=40.0748.
Iter 153 : Cost=28.8566, ExpCost=39.9626.
Iter 154 : Cost=24.9563, ExpCost=39.8126.
Iter 155 : Cost=35.1131, ExpCost=39.7656.
Iter 156 : Cost=30.6080, ExpCost=39.6740.
Iter 157 : Cost=34.9404, ExpCost=39.6267.
Iter 158 : Cost=37.3765, ExpCost=39.6042.
Iter 159 : Cost=33.5631, ExpCost=39.5438.
Iter 160 : Cost=31.7530, ExpCost=39.4658.
Iter 161 : Cost=33.0634, ExpCost=39.4018.
Iter 162 : Cost=27.9146, ExpCost=39.2869.
Iter 163 : Cost=27.4792, ExpCost=39.1689.
Iter 164 : Cost=33.5755, ExpCost=39.1129.
Iter 165 : Cost=34.2452, ExpCost=39.0643.
Iter 166 : Cost=31.9742, ExpCost=38.9934.
Iter 167 : Cost=30.5893, ExpCost=38.9093.
