models/RNN2_wvecDim_30_middleDim_30_step_5e-2_2.bin
Loading data...
Loading training trees..
initializing SGD
Using adagrad...
Loading deving trees..
Running epoch 0
running SGD
Iter 112 : Cost=24.9999, ExpCost=39.0588.
Iter 113 : Cost=20.3666, ExpCost=38.8719.
Iter 114 : Cost=24.9410, ExpCost=38.7326.
Iter 115 : Cost=22.1842, ExpCost=38.5671.
Iter 116 : Cost=22.8358, ExpCost=38.4098.
Iter 117 : Cost=21.2568, ExpCost=38.2383.
Iter 118 : Cost=23.5943, ExpCost=38.0918.
Iter 119 : Cost=23.6817, ExpCost=37.9477.
Iter 120 : Cost=24.5562, ExpCost=37.8138.
Iter 121 : Cost=23.0884, ExpCost=37.6666.
Iter 122 : Cost=25.5250, ExpCost=37.5451.
Iter 123 : Cost=24.5820, ExpCost=37.4155.
Iter 124 : Cost=25.9929, ExpCost=37.3013.
Iter 125 : Cost=23.3612, ExpCost=37.1619.
Iter 126 : Cost=20.2484, ExpCost=36.9928.
Iter 127 : Cost=23.0824, ExpCost=36.8537.
Iter 128 : Cost=23.4945, ExpCost=36.7201.
Iter 129 : Cost=24.0145, ExpCost=36.5930.
Iter 130 : Cost=21.7021, ExpCost=36.4441.
Iter 131 : Cost=26.0660, ExpCost=36.3403.
Iter 132 : Cost=24.8004, ExpCost=36.2249.
Iter 133 : Cost=26.2142, ExpCost=36.1248.
Iter 134 : Cost=23.1486, ExpCost=35.9950.
Iter 135 : Cost=25.2892, ExpCost=35.8880.
Iter 136 : Cost=21.8019, ExpCost=35.7471.
Iter 137 : Cost=23.3147, ExpCost=35.6228.
Iter 138 : Cost=29.7427, ExpCost=35.5640.
Iter 139 : Cost=26.8609, ExpCost=35.4770.
Iter 140 : Cost=22.9420, ExpCost=35.3516.
Iter 141 : Cost=22.8396, ExpCost=35.2265.
Iter 142 : Cost=23.8572, ExpCost=35.1128.
Iter 143 : Cost=19.8954, ExpCost=34.9606.
Iter 144 : Cost=24.8222, ExpCost=34.8593.
Iter 145 : Cost=19.1343, ExpCost=34.7020.
Iter 146 : Cost=21.2662, ExpCost=34.5676.
Iter 147 : Cost=21.7018, ExpCost=34.4390.
Iter 148 : Cost=23.2538, ExpCost=34.3271.
Iter 149 : Cost=20.2815, ExpCost=34.1867.
Iter 150 : Cost=28.0130, ExpCost=34.1249.
Iter 151 : Cost=23.5394, ExpCost=34.0191.
Iter 152 : Cost=22.0000, ExpCost=33.8989.
Iter 153 : Cost=21.0436, ExpCost=33.7703.
Iter 154 : Cost=25.5535, ExpCost=33.6882.
Iter 155 : Cost=23.3033, ExpCost=33.5843.
Iter 156 : Cost=28.2694, ExpCost=33.5312.
Iter 157 : Cost=22.2553, ExpCost=33.4184.
Iter 158 : Cost=26.4275, ExpCost=33.3485.
Iter 159 : Cost=27.7447, ExpCost=33.2925.
Iter 160 : Cost=22.2287, ExpCost=33.1818.
Iter 161 : Cost=23.4484, ExpCost=33.0845.
Iter 162 : Cost=21.2432, ExpCost=32.9661.
Iter 163 : Cost=19.7033, ExpCost=32.8335.
Iter 164 : Cost=25.1011, ExpCost=32.7561.
Iter 165 : Cost=25.1816, ExpCost=32.6804.
Iter 166 : Cost=24.9674, ExpCost=32.6033.
Iter 167 : Cost=22.3114, ExpCost=32.5003.
